"Unique Name","Title","Resource URL","Creator"
"education-at-the-nat-museum-australia"," Education at the National Museum of Australia","https://www.nma.gov.au/education","National Museum of Australia"
"100-years-of-anzac","100 Years of Anzac","https://anzacportal.dva.gov.au/","Department of Veterans' Affairs"
"2nd-commando-regiment","2nd Commando Regiment","https://2commando.gov.au/","Department of Defence"
"healthy-and-active-australia","A Healthy and Active Australia","https://www.healthyactive.gov.au/","Department of Health"
"abc-australian-broadcasting-corporation","ABC – Australian Broadcasting Corporation","https://www.abc.net.au/","Australian Broadcasting Corporation"
"abn-lookup-an-australian-business-number","ABN Lookup for an Australian business number","https://abr.business.gov.au/","Department of Industry, Innovation and Science"
"atsi-health-practice-board","Aboriginal and Torres Strait Islander Health Practice Board of Australia","https://www.atsihealthpracticeboard.gov.au/","Australian Health Practitioner Regulation Agency"
"aboriginal-hostels-limited-web-resource","Aboriginal Hostels Limited","https://www.ahl.gov.au/","Aboriginal Hostels Ltd"
"abr-explorer","ABR Explorer","https://abrexplorer.abr.gov.au/","Australian Taxation Office"
"abs-beta-works-blog","ABS BetaWorks","https://betaworks.abs.gov.au/betaworks/betaworks.nsf","Australian Bureau of Statistics"
"abs-spotlight","ABS Spotlight","https://spotlight.abs.gov.au/","Australian Bureau of Statistics"
"abs-stat-beta","ABS.Stat Beta","https://stat.abs.gov.au/","Australian Bureau of Statistics"
"accc-public-registers","ACCC Public Registers","https://registers.accc.gov.au/","Australian Competition and Consumer Commission"
"blog-aciar-blog","ACIAR blog","https://aciarblog.blogspot.com.au/","Australian Centre for International Agricultural Research"
"activfire-scheme","ActivFire Scheme","https://www.activfire.gov.au/","CSIRO, the Commonwealth Scientific and Industrial Research Organisation"
"adf-financial-services-consumer-centre","ADF Financial Services Consumer Centre","https://adfconsumer.gov.au/","Department of Defence"
"adf-long-tan-youth-leadership-teamwork-awards","ADF Long Tan Youth Leadership and Teamwork Awards","https://adflongtanawards.gov.au/","Department of Defence"
"administrative-appeals-tribunal-web-resource","Administrative Appeals Tribunal","https://www.aat.gov.au/","Administrative Appeals Tribunal"
"administrative-review-council","Administrative Review Council","https://www.arc.ag.gov.au/","Attorney-General's Department"
"aec-for-schools","AEC for schools","https://education.aec.gov.au/","Australian Electoral Commission"
"aged-care-complaints-commissioner-web-resource","Aged Care Complaints Commissioner","https://www.agedcarecomplaints.gov.au/","Office of the Aged Care Complaints Commissioner"
"aged-care-pricing-commissioner","Aged Care Pricing Commissioner","https://www.acpc.gov.au/","Department of Social Services"
"aged-care-service-finder","Aged care service finder ","https://www.myagedcare.gov.au/service-finder","Department of Health"
"agls-metadata-standard","AGLS metadata standard","https://www.agls.gov.au/","National Archives of Australia"
"agricultural-competitiveness-white-paper","Agricultural Competitiveness White Paper","https://agwhitepaper.agriculture.gov.au/","Department of Agriculture and Water Resources"
"agrifutures-australia-web-resource","AgriFutures Australia","https://www.agrifutures.com.au","AgriFutures Australia"
"aiatsis-from-wentworth-to-dodson","AIATSIS: From Wentworth to Dodson","https://50yearjourney.aiatsis.gov.au/","Australian Institute of Aboriginal and Torres Strait Islander Studies"
"air-power-development-centre","Air Power Development Centre","https://airpower.airforce.gov.au/","Department of Defence"
"aircraft-noise-ombudsman","Aircraft Noise Ombudsman","https://ano.gov.au/","Airservices Australia"
"airservices-australia-web-resource","Airservices Australia","https://www.airservices.gov.au/","Airservices Australia"
"alcohol","Alcohol","https://www.alcohol.gov.au/","Department of Health"
"animal-health-australia-web-resource","Animal Health Australia","https://www.animalhealthaustralia.com.au","Animal Health Australia"
"anindilyakwa-land-council-alc","Anindilyakwa Land Council","https://anindilyakwa.com.au/","Anindilyakwa Land Council"
"annual-returns-locator-service","Annual Returns","https://periodicdisclosures.aec.gov.au/","Australian Electoral Commission"
"ansto-publications-online","ANSTO Publications Online","https://apo.ansto.gov.au/","Australian Nuclear Science and Technology Organisation"
"anti-dumping-commission","Anti-Dumping Commission","https://www.adcommission.gov.au/","Department of Industry, Innovation and Science"
"anti-dumping-review-panel","Anti-Dumping Review Panel","https://adreviewpanel.gov.au/Pages/default.aspx","Department of Industry, Innovation and Science"
"anzac-centenary","Anzac Centenary","https://www.anzaccentenary.gov.au/","Department of Veterans' Affairs"
"anzlic-the-spatial-information-council-web-resource","ANZLIC – The Spatial Information Council","https://www.anzlic.gov.au/","ANZLIC – The Spatial Information Council"
"aps-jobs","APS Jobs","https://www.apsjobs.gov.au/","Australian Public Service Commission"
"army-airforce-canteen-service-web-resource","Army and Air Force Canteen Service","https://www.aafcans.gov.au/","Army and Air Force Canteen Service (AAFCANS)"
"art-is-a-weapon","Art is a Weapon","https://artisaweapon.moadoph.gov.au/","Museum of Australian Democracy at Old Parliament House"
"artbank-web-resource","Artbank","https://artbank.gov.au/","Ministry for the Arts"
"artfacts","Artfacts","https://artfacts.australiacouncil.gov.au/","Australia Council for the Arts"
"asbestos-safety-and-eradication-agency-web-resource","Asbestos Safety and Eradication Agency","https://asbestossafety.gov.au/","Asbestos Safety and Eradication Agency"
"asic-connect","ASIC Connect","https://asicconnect.asic.gov.au/","Australian Securities and Investments Commission"
"asic-searches-and-lodgements","ASIC Searches and Lodgements","https://www.edge.asic.gov.au/","Australian Securities and Investments Commission"
"at-ease","At Ease","https://at-ease.dva.gov.au/","Department of Veterans' Affairs"
"atlas-of-living-australia","Atlas of Living Australia","https://www.ala.org.au/","CSIRO, the Commonwealth Scientific and Industrial Research Organisation"
"blog-ato-lets-talk","ATO Let’s Talk","https://lets-talk.ato.gov.au/","Australian Taxation Office"
"attorney-generals-department-ag","Attorney-General's Department","https://www.ag.gov.au/","Attorney-General's Department"
"auditing-and-assurance-standards-board-auasb","Auditing and Assurance Standards Board","https://www.auasb.gov.au/","Auditing and Assurance Standards Board "
"austender-the-australian-government-tender-system","AusTender – The Australian Government Tender System","https://www.tenders.gov.au/","Department of Finance"
"austrade-australian-trade-and-investment-commission","Austrade – Australian Trade and Investment Commission","https://www.austrade.gov.au/","Australian Trade and Investment Commission"
"australasian-antarctic-expedition-and-mawsons-huts-historic-site","Australasian Antarctic Expedition and Mawson's Huts Historic Site","https://mawsonshuts.antarctica.gov.au/","Australian Antarctic Division"
"australasian-court-administrators-group","Australasian Court Administrators Group","https://acag.gov.au/","High Court of Australia"
"australasian-digital-recordkeeping-initiative","Australasian Digital Recordkeeping Initiative","https://adri.gov.au/","National Archives of Australia"
"australasian-procurement-and-construction-council-apcc","Australasian Procurement and Construction Council","https://www.apcc.gov.au/","Australasian Procurement and Construction Council Inc."
"australia-and-the-vietnam-war","Australia and the Vietnam War","https://vietnam-war.commemoration.gov.au/","Board of Studies NSW"
"australia-awards","Australia Awards","https://www.australiaawards.gov.au/","Department of Foreign Affairs and Trade"
"australia-council-for-the-arts-ac","Australia Council for the Arts","https://www.australiacouncil.gov.au/","Australia Council for the Arts"
"australia-day","Australia Day","https://www.australiaday.org.au/","National Australia Day Council"
"australia-global-alumni","Australia Global Alumni","https://globalalumni.gov.au/","Department of Foreign Affairs and Trade"
"australia-minerals","Australia Minerals","https://australiaminerals.gov.au/","Geoscience Australia"
"australia-new-zealand-policing-advisory-agency-anzpaa","Australia New Zealand Policing Advisory Agency (ANZPAA)","https://www.anzpaa.org.au/","Australia New Zealand Policing Advisory Agency"
"australia-plus-tv","Australia Plus TV","https://tv.australiaplus.com/","Australian Broadcasting Corporation"
"australia-post","Australia Post","https://auspost.com.au/","Australian Postal Corporation"
"australia-telescope-national-facility","Australia Telescope National Facility","https://www.atnf.csiro.au/","CSIRO, the Commonwealth Scientific and Industrial Research Organisation"
"australia-telescope-outreach-and-education","Australia Telescope Outreach and Education","https://www.atnf.csiro.au/outreach/index.html","CSIRO, the Commonwealth Scientific and Industrial Research Organisation"
"australia-unlimited","Australia Unlimited","https://www.australiaunlimited.com/","Australian Trade and Investment Commission"
"australias-aid-program","Australia's aid program","https://www.dfat.gov.au/aid/Pages/australias-aid-program.aspx","Department of Foreign Affairs and Trade"
"australias-chief-scientist","Australia's Chief Scientist","https://www.chiefscientist.gov.au/","Department of Industry, Innovation and Science"
"australias-future-tax-system","Australia's Future Tax System","https://taxreview.treasury.gov.au/",""
"australias-involvement-in-the-korean-war","Australia's involvement in the Korean War","https://korean-war.commemoration.gov.au/","Board of Studies NSW"
"australias-prime-ministers","Australia's Prime Ministers","https://primeministers.naa.gov.au/","National Archives of Australia"
"australias-war-1939-1945","Australia's War 1939-1945","https://www.ww2australia.gov.au/","Department of Veterans' Affairs"
"australia-japan-research-project","Australia-Japan Research Project","https://ajrp.awm.gov.au/","Australian War Memorial"
"australiacom","Australia.com","https://www.australia.com/en","Tourism Australia"
"australia-unsc","Australia: United Nations Security Council 2013-14","https://unny.mission.gov.au/","Department of Foreign Affairs and Trade"
"australian-accounting-standards-board-aasb","Australian Accounting Standards Board ","https://www.aasb.gov.au/","Australian Accounting Standards Board"
"australian-aged-care-quality-agency","Australian Aged Care Quality Agency","https://www.aacqa.gov.au/","Australian Aged Care Quality Agency"
