"Unique Name","Title","Resource URL title","Resource URL","Creator"
"twitter-aao-astronomy","AAO Astronomy","@AAOastro","https://twitter.com/AAOastro","Department of Industry, Innovation and Science"
"twitter-aasb","AASB","@AASBaustralia","https://twitter.com/AASBaustralia","Australian Accounting Standards Board"
"twitter-abares-1","ABARES","@ABARES ","https://twitter.com/ABARES","Department of Agriculture and Water Resources"
"facebook-abc","ABC","ABC","https://www.facebook.com/abc","Australian Broadcasting Corporation"
"googleplus-abc-australia","ABC Australia","ABC Australia","https://plus.google.com/u/0/+ABC","Australian Broadcasting Corporation"
"youtube-abc-australia","ABC Australia","ABC Australia","https://www.youtube.com/user/abcaustralia","Australian Broadcasting Corporation"
"twitter-abc-australia","ABC Australia","@ABCaustralia","https://twitter.com/abcaustralia/","Australian Broadcasting Corporation"
"rss-abc","ABC – Australian Broadcasting Corporation","RSS feeds","http://www.abc.net.au/services/rss/","Australian Broadcasting Corporation"
"podcast-abc","ABC – Australian Broadcasting Corporation","Podcasts","http://www.abc.net.au/services/podcasting/","Australian Broadcasting Corporation"
"twitter-abf","ABF","@AusBorderForce","https://twitter.com/AusBorderForce","Australian Border Force"
"youtube-abf-tv","ABF TV","ABF TV","https://www.youtube.com/user/AusCustomsNews","Australian Border Force"
"facebook-aboriginal-hostels-limited","Aboriginal Hostels Limited","Aboriginal Hostels Limited","https://www.facebook.com/AboriginalHostelsLimited","Aboriginal Hostels Ltd"
"facebook-about-the-house","About the House","About the House","https://www.facebook.com/AusHouseofRepresentatives/","Parliament of Australia"
"twitter-about-the-house","About the House","@AboutTheHouse","https://twitter.com/AboutTheHouse","Department of the House of Representatives"
"rss-abs-beta-works","ABS BetaWorks","RSS feed (XML)","http://betaworks.abs.gov.au/betaworks/betaworks.nsf/feed.rss","Australian Bureau of Statistics"
"twitter-acara","ACARA","@ACARAeduau","https://twitter.com/ACARAeduau","Australian Curriculum, Assessment and Reporting Authority"
"facebook-acara","ACARA","ACARA","https://www.facebook.com/acara.edu.au",""
"youtube-acaraeduau","ACARAeduau","ACARAeduau","https://www.youtube.com/user/ACARAeduau/about","Australian Curriculum, Assessment and Reporting Authority"
"linkedin-acaraeduau","ACARAeduau","ACARAeduau","https://www.linkedin.com/company/668120?trk=tyah&trkInfo=tas%3AACARA%2Cidx%3A1-2-2","Australian Curriculum, Assessment and Reporting Authority"
"linkedin-accc","ACCC","ACCC","https://www.linkedin.com/company/accc","Australian Competition and Consumer Commission"
"twitter-accc","ACCC","@acccgovau","https://twitter.com/acccgovau","Australian Competition and Consumer Commission"
"facebook-accc-consumer-rights","ACCC Consumer Rights","ACCC Consumer Rights","https://www.facebook.com/ACCCConsumerRights","Australian Competition and Consumer Commission"
"facebook-accc-product-safety","ACCC Product Safety","ACCC Product Safety","https://www.facebook.com/ACCCProductSafety","Australian Competition and Consumer Commission"
"twitter-accc-product-safety","ACCC Product Safety","@ACCCProdSafety","https://twitter.com/ACCCProdSafety","Australian Competition and Consumer Commission"
"youtube-accc-product-safety","ACCCProductSafety","ACCCProductSafety","https://www.youtube.com/user/ACCCProductSafety","Australian Competition and Consumer Commission"
"youtube-accc-videos","ACCCvideos","ACCCvideos","https://www.youtube.com/user/ACCCvideos","Australian Competition and Consumer Commission"
"twitter-acecqa","ACECQA","@ACECQA","https://twitter.com/ACECQA","Australian Children's Education and Care Quality Authority"
"facebook-acecqa","ACECQA","ACECQA","https://www.facebook.com/ACECQA","Australian Children's Education and Care Quality Authority"
"twitter-aciar","ACIAR","@ACIARAustralia","https://twitter.com/ACIARAustralia","Australian Centre for International Agricultural Research"
"youtube-aciar-australia","ACIAR Australia","ACIAR Australia","https://www.youtube.com/user/ACIARprojects","Australian Centre for International Agricultural Research"
"blog-aciar-blog","ACIAR blog","ACIAR blog","http://aciarblog.blogspot.com.au/","Australian Centre for International Agricultural Research"
"twitter-acic","ACIC","@ACICgovau","https://twitter.com/ACICgovau","Australian Criminal Intelligence Commission"
"instagram-acma","ACMA","@acmadotgov","https://www.instagram.com/acmadotgov/","Australian Communications and Media Authority"
"facebook-acmadotgov","acmadotgov","acmadotgov","https://www.facebook.com/acmadotgov","Australian Communications and Media Authority"
"youtube-acma-dot-gov","acmadotgov","acmadotgov","https://www.youtube.com/user/acmadotgov","Australian Communications and Media Authority"
"twitter-acmc","ACMC","@AustCivMil","https://twitter.com/AustCivMil","Australian Civil-Military Centre"
"twitter-acnc","ACNC","@ACNC_gov_au","https://twitter.com/@acnc_gov_au","Australian Charities and Not-for-profits Commission"
"youtube-acncvideos","ACNCvideos","ACNCvideos","https://www.youtube.com/user/ACNCvideos","Australian Charities and Not-for-profits Commission"
"twitter-acsqhc","ACSQHC","@ACSQHC","https://twitter.com/ACSQHC","Australian Commission on Safety and Quality in Health Care"
"youtube-acsqhc","ACSQHC","ACSQHC","https://www.youtube.com/user/ACSQHC","Australian Commission on Safety and Quality in Health Care"
